688,F A AGUASCALIENTES CAMPESTRE,00482 - AGS_AGCA_CAMPESTRE_00482,AGCA,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,BLVD. MIGUEL DE LA MADRID,,217,LOMAS DEL CAMPESTRE 2A SECCION,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1086,F A AGUASCALIENTES MARISTA,01000 - AGS_AGMS_MARISTA_01000,AGMS,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV CONVENCION DE 1914 PTE,,624,SAN MARCOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
653,F A AGUASCALIENTES CONVENCION PONIENTE      C,00606 - AGS_AGCR_CONVENCION PONIENTE_00606,AGCR,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV CONVENCION DE 1914,,PTE 201,RESIDENCIAL DEL VALLE I,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
526,F A AGUASCALIENTES PETROLEOS MEXICANOS      C,00604 - AGS_AGPE_PETROLEOS MEXICANOS_00604,AGPE,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV INDEPENDENCIA,,120,JARDINES DEBUGAMBILIAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1129,F A AGUASCALIENTES BODEGA MERCANCIA         C,03992 - FARMACIAS POR APERTURAR AGUASCALIENTES,AGBD,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV. AGUASCALIENTES PTE,,1116,LAS BRISAS,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1076,F A AGUASCALIENTES BAZAR         C,00983 - AGS_AGBA_BAZAR_00983,AGBA,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV LAS AMERICAS,,101,FRACC LAS FUENTES,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1077,F A AGUASCALIENTES BLANCO         C,00984 - AGS_AGBL_BLANCO_00984,AGBL,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,PLAZA SAN MARCOS,,38-40,FRACC SAN CAYETANO,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1092,F A AGUASCALIENTES PLAZA PATRIA         C,01007 - AGS_AGPL_PLAZA PATRIA_01007,AGPL,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,C C PLAZA PATRIA,,7,ZONA CENTRO,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1093,F A AGUASCALIENTES POCITOS         C,01008 - AGS_AGPO_POCITOS_01008,AGPO,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,EUGENIO GARZA SADA,,148-150,COL RINCON ANDALUZ,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1074,F A AGUASCALIENTES ALLENDE,00981 - AGS_AGLL_ALLENDE_00981,AGLL,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,C C PARIAN,,63-64,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1079,F A AGUASCALIENTES BRISAS         C,00986 - AGS_AGBR_BRISAS_00986,AGBR,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV AGUASCALIENTES PTE,,1115,FRACC COLINAS DEL PTE,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1090,F A AGUASCALIENTES PARIAN,01005 - AGS_AGPI_PARIAN_01005,AGPI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,C C PARIAN,,74 AL 81,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1094,F A AGUASCALIENTES PURISIMA          C,01009 - AGS_AGPS_PURISIMA_01009,AGPS,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,EZEQUIEL A CHAVEZ SUR,,407,FRACC LA ESTACION,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1070,F A AGUASCALIENTES GUADALUPE PERALTA      C,01018 - AGS_AGGP_GUADALUPE PERALTA_01018,AGGP,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,ANTONIA LOPEZ DE CHAVEZ,,501,GUADALUPE PERALTA,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1084,F A AGUASCALIENTES MADERO         C,00997 - AGS_AGMD_MADERO _00997,AGMD,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,MADERO,,213,ZONA CENTRO,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1087,F A AGUASCALIENTES MENDEL,01001 - AGS_AGMM_MENDEL_01001,AGMM,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV NAZARIO ORTIZ GARZA,,99,SANTA ANITA,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1088,F A AGUASCALIENTES MORELOS,01002 - AGS_AGMO_MORELOS_01002,AGMO,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV HEROE INMORTAL,,301,MORELOS I,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1095,F A AGUASCALIENTES SAN NICOLAS,01012 - AGS_AGNI_SAN NICOLAS_01012,AGNI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,PROL. GRAL. IGNACIO ZARAGOZA ,,711,VILLA DE LAS TROJES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1073,F A AGUASCALIENTES AGOSTADERO,00980 - AGS_AGAG_AGOSTADERO_00980,AGAG,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV DE LOS MAESTROS,,1502,MONTEBELLO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1080,F A AGUASCALIENTES CANTERAS,00987 - AGS_AGCN_CANTERAS_00987,AGCN,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,BLVD JUAN PABLO II,D,1160,COL. CANTERAS DE SAN JAVIER,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1082,F A AGUASCALIENTES CONSTITUCION,00989 - AGS_AGCS_CONSTITUCION_00989,AGCS,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV CONSTITUCION ,,647,POZO BRAVO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1085,F A AGUASCALIENTES MARIANO ESCOBEDO         C,00999 - AGS_AGME_MARIANO ESCOBEDO_00999,AGME,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV CONVENCION DE 1914,,1309,FRACC JESUS TERAN,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1089,F A AGUASCALIENTES OJOCALIENTE,01003 - AGS_AGOJ_OJOCALIENTE_01003,AGOJ,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV OJOCALIENTE,,511,OJOCALIENTE,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1091,F A AGUASCALIENTES PILAR BLANCO         C,01006 - AGS_AGPB_PILAR BLANCO_01006,AGPB,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,PASEO DE LA ASUNCION,,3626,FRACC PILAR BLANCO,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
450,F A AGUASCALIENTES UNIVERSIDAD,00470 - AGS_AGUN_UNIVERSIDAD_00470,AGUN,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV UNIVERSIDAD,,217,VILLAS DE LA UNIVERSIDAD,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
978,F A AGUASCALIENTES PULGAS PANDAS,00865 - AGS_AGPP PULGAS PANDAS_00865,AGPP,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. AGUASCALIENTES,,S/N,FATIMA,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1009,F A AGUASCALIENTES JARDINES,00904 - AGS_AGJA_JARDINES_00904,AGJA,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV DE LA CONVENCION DE 1914,,1610,LA CONCORDIA,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1075,F A AGUASCALIENTES AMERICAS          C,00982 - AGS_AGAE_AMERICAS_00982,AGAE,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV LAS AMERICAS,4,907,FRACC SANTA ELENA,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1078,F A AGUASCALIENTES BOSQUES         C,00985 - AGS_AGBS_BOSQUES_00985,AGBS,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV UNIVERSIDAD,,1205,BOSQUES DEL PRADO,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1097,F A AGUASCALIENTES ZARAGOZA         C,01017 - AGS_AGZR_ZARAGOZA_01017,AGZR,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV ZARAGOZA,,521,ZONA CENTRO,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
503,F A AGUASCALIENTES INDEPENDENCIA,00474 - AGS_AGIN_INDEPENDENCIA_00474,AGIN,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV INDEPENDENCIA,,802,CIRCUNVALACION NORTE,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
504,F A AGUASCALIENTES 16 DE SEPTIEMBRE         C,00475 - AGS_AG16_16 DE SEPTIEMBRE_00475,AG16,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,LOPEZ MATEOS ORIENTE,,327,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
519,F A AGUASCALIENTES MADERO                   C,00490 - AGS_AGMA_MADERO_00490,AGMA,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,LIC. FRANCISCO I. MADERO,,116-A,JARDINES DE LAS BUGAMBILIAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
530,F A AGUASCALIENTES AMERICAS                 C,00489 - AGS_AGAM_AMERICAS_00489,AGAM,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV LAS AMERICAS,,1401,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
531,F A AGUASCALIENTES LIBERTAD                 C,00471 - AGS_AGCV_CONVENCION Y LIBERTAD_00471,AGCV,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV CONVENCION DE 1914 PTE,,102,RESIDENCIAL DEL VALLE I,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
652,F A AGUASCALIENTES 3ER ANILLO,00481 - AGS_AG3A_3ER ANILLO ORIENTE_00481,AG3A,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,BLVD. SIGLO XXI,,902,OJOCALIENTE III,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
487,F A AGUASCALIENTES PASEO DE LA CRUZ,00473 - AGS_AGLC_PASEO DE LA CRUZ_00473,AGLC,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV DE LA CONVENCION DE 1914 ORIENTE,,705,JARDINES DE LA CRUZ,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
613,F A AGUASCALIENTES ALAMEDA,00480 - AGS_AGAL_ALAMEDA_00480,AGAL,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV DE LA CONVENCION DE 1914,,102,HEROES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
614,F A AGUASCALIENTES CLINICA 1,00479 - AGS_AGCL_CLINICA 1_00479,AGCL,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV DE LA CONVENCION DE 1914 SUR,,201,LAS AMERICAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
628,F A AGUASCALIENTES PRADOS DEL SUR           C,00605 - AGS_AGPR_PRADOS DEL SUR_00605,AGPR,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,PROLONGACION PASEO DE LA ASUNCION,,222,PRADOS DEL SUR,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
463,F A AGUASCALIENTES UNION,00472 - AGS_AGUI_UNION_00472,AGUI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,5 DE MAYO,,327,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2179,F A TIJUANA CLINICA 27,01958 - TIJ_TI27_CLINICA 27_01958,TI27,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,BOULEVARD GUSTAVO DIAZ ORDAZ,,15851,LAS HUERTAS 5A SECCION,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
2194,F A TIJUANA SAN BENITO,01959 - TIJ_TISB_SAN BENITO_01959,TISB,Abierta,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,BLVD. CUCAPAH,,20280,BUENOS AIRES SUR,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1743,F A TIJUANA GUERRERO,01730 - TIJ_TIGU_GUERRERO_01730,TIGU,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,CALLE 3RA CARRILLO PUERTO,,7442-13 ,ZONA CENTRO,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1745,F A TIJUANA TERCERA,01732 - TIJ_TITE_TERCERA_01732,TITE,Abierta,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,C. FELIPE CARRILLO PUERTO,,8089,ZONA CENTRO,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1967,F A TIUANA MISIONES SOLER,01768 - TIJ_TIMS_MISIONES SOLER_01768,TIMS,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,A,,A ,SOLER,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
2087,F A TIJUANA ALBA,01869 - TIJ_TIAL_ALBA_01869,TIAL,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,A,,A ,ZONA URBANA RIO TIJUANA,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
2341,F A MEXICALI BENITO JUAREZ,02109 - MLI_MLBJ_BENITO JUAREZ_02109,MLBJ,Cerrada,MEXICALI,MEXICALI,1,FARMACIAS DEL AHORRO,S,CALZ. LIC BENITO JUAREZ,,2096,PARCELA 44,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1890,F A TIJUANA 5 Y 10,01773 - TIJ_TIME_5 Y 10_01773,TIME,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,AAAAA,,A,SIN COLONIA BC,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1808,F A TIJUANA MAQUILADORAS (CEDIS),01757 - TIJ_TIMA_MAQUILADORAS (CEDIS)_01757,TIMA,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,AV LEONA VICARIO,,9250,ZONA URBANA RIO TIJUANA,,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1889,F A TIJUANA TECATE,01772 - TIJ_TITC_TECATE_01772,TITC,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,AAAAA,,A,SIN COLONIA BC,TECATE,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1840,F A TIJUANA GATO BRONCO,01658 - TIJ_TIGB_GATO BRONCO_01658,TIGB,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,AVE MANUEL J CLOUTHIER,,6204 ,GUAYCURA,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1891,F A TIJUANA TECNOLOGICO OTAY,01774 - TIJ_TIOY_TECNOLOGICO OTAY_01774,TIOY,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,AAAAA,,A,SIN COLONIA BC,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1893,F A TIJUANA RIO,01776 - TIJ_TIRV_RIO_01776,TIRV,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,AAAAA,,A,SIN COLONIA BC,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1839,F A TIJUANA COCHIMIE,01656 - TIJ_TICO_COCHIMIE_01656,TICO,Abierta,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,N,PSO. DEL PERICUE,,18411,GUAYCURA,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
1878,F A TIJUANA HOSPITAL GENERAL,01758 - TIJ_TIHG_HOSPITAL GENERAL_01758,TIHG,Abierta,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,C. VIA RAPIDA ORIENTE,,10950 ,ZONA URBANA RIO TIJUANA,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
2249,F A TIJUANA MIRADOR,02025 - TIJ_TIMI_MIRADOR_02025,TIMI,Cerrada,TIJUANA,TIJUANA,1,FARMACIAS DEL AHORRO,S,BLVD. EL MIRADOR,,577,EL MIRADOR,TIJUANA,BAJA CALIFORNIA,TIJUANA,PROVINCIA,NORTE
